{'crystal': 344, 'rot': 1, 'center_x': 897, 'center_y': 1178}
{'crystal': 345, 'rot': 1, 'center_x': 457, 'center_y': 1017}
{'crystal': 346, 'rot': 1, 'center_x': 731, 'center_y': 756}
{'crystal': 347, 'rot': 1, 'center_x': 479, 'center_y': 1178}
{'crystal': 348, 'rot': 1, 'center_x': 883, 'center_y': 998}
{'crystal': 349, 'rot': 1, 'center_x': 621, 'center_y': 769}
{'crystal': 350, 'rot': 1, 'center_x': 944, 'center_y': 747}
{'crystal': 351, 'rot': 1, 'center_x': 808, 'center_y': 614}
{'crystal': 352, 'rot': 1, 'center_x': 920, 'center_y': 862}
{'crystal': 353, 'rot': 1, 'center_x': 868, 'center_y': 754}
{'crystal': 354, 'rot': 1, 'center_x': 507, 'center_y': 1019}
{'crystal': 355, 'rot': 1, 'center_x': 497, 'center_y': 800}
{'crystal': 356, 'rot': 1, 'center_x': 623, 'center_y': 530}
{'crystal': 357, 'rot': 1, 'center_x': 811, 'center_y': 1031}
{'crystal': 358, 'rot': 1, 'center_x': 931, 'center_y': 443}
{'crystal': 359, 'rot': 1, 'center_x': 571, 'center_y': 1080}
{'crystal': 360, 'rot': 1, 'center_x': 819, 'center_y': 1152}
{'crystal': 361, 'rot': 1, 'center_x': 628, 'center_y': 1103}
{'crystal': 362, 'rot': 1, 'center_x': 581, 'center_y': 920}
{'crystal': 363, 'rot': 1, 'center_x': 522, 'center_y': 1235}
{'crystal': 364, 'rot': 1, 'center_x': 868, 'center_y': 1067}
{'crystal': 365, 'rot': 1, 'center_x': 718, 'center_y': 877}
{'crystal': 366, 'rot': 1, 'center_x': 667, 'center_y': 1208}
{'crystal': 367, 'rot': 1, 'center_x': 899, 'center_y': 951}
{'crystal': 368, 'rot': 1, 'center_x': 1006, 'center_y': 928}
{'crystal': 369, 'rot': 1, 'center_x': 485, 'center_y': 1048}
{'crystal': 370, 'rot': 1, 'center_x': 965, 'center_y': 1070}
{'crystal': 371, 'rot': 1, 'center_x': 661, 'center_y': 1077}
{'crystal': 372, 'rot': 1, 'center_x': 570, 'center_y': 725}
{'crystal': 373, 'rot': 1, 'center_x': 897, 'center_y': 855}
{'crystal': 374, 'rot': 1, 'center_x': 649, 'center_y': 560}
{'crystal': 375, 'rot': 1, 'center_x': 674, 'center_y': 1230}
{'crystal': 376, 'rot': 1, 'center_x': 658, 'center_y': 1123}
{'crystal': 377, 'rot': 1, 'center_x': 719, 'center_y': 785}
{'crystal': 378, 'rot': 1, 'center_x': 822, 'center_y': 1162}
{'crystal': 379, 'rot': 1, 'center_x': 1012, 'center_y': 668}
{'crystal': 380, 'rot': 1, 'center_x': 460, 'center_y': 630}
{'crystal': 381, 'rot': 1, 'center_x': 936, 'center_y': 1204}
{'crystal': 382, 'rot': 1, 'center_x': 636, 'center_y': 718}
{'crystal': 383, 'rot': 1, 'center_x': 966, 'center_y': 872}
